data_size,AVLtree,array
5330,0.000004,0.000053
5340,0.000006,0.000056
5350,0.000006,0.000055
5360,0.000008,0.000046
5370,0.000009,0.000053
5380,0.000004,0.000051
5390,0.000004,0.000054
5400,0.000006,0.000051
5410,0.000007,0.000060
5420,0.000006,0.000061
5430,0.000008,0.000053
5440,0.000005,0.000064
5450,0.000007,0.000055
5460,0.000006,0.000071
5470,0.000011,0.000064
5480,0.000005,0.000047
5490,0.000008,0.000034
5500,0.000004,0.000073
5510,0.000012,0.000042
5520,0.000004,0.000060
5530,0.000004,0.000051
5540,0.000004,0.000067
5550,0.000007,0.000036
5560,0.000007,0.000041
5570,0.000006,0.000019
5580,0.000004,0.000079
5590,0.000007,0.000066
5600,0.000003,0.000099
5610,0.000002,0.000061
5620,0.000004,0.000066
5630,0.000005,0.000058
5640,0.000007,0.000094
5650,0.000005,0.000068
5660,0.000007,0.000063
5670,0.000007,0.000055
5680,0.000006,0.000089
5690,0.000005,0.000050
5700,0.000004,0.000054
5710,0.000002,0.000076
5720,0.000006,0.000072
5730,0.000004,0.000074
5740,0.000006,0.000049
5750,0.000007,0.000052
5760,0.000007,0.000051
5770,0.000005,0.000069
5780,0.000006,0.000069
5790,0.000006,0.000060
5800,0.000007,0.000058
5810,0.000006,0.000063
5820,0.000004,0.000059
5830,0.000004,0.000062
5840,0.000006,0.000069
5850,0.000016,0.000056
5860,0.000006,0.000059
5870,0.000007,0.000068
5880,0.000007,0.000068
5890,0.000004,0.000060
5900,0.000007,0.000055
5910,0.000006,0.000071
5920,0.000004,0.000057
5930,0.000005,0.000051
5940,0.000008,0.000070
5950,0.000008,0.000061
5960,0.000005,0.000062
5970,0.000005,0.000065
5980,0.000005,0.000070
5990,0.000005,0.000063
6000,0.000005,0.000059
6010,0.000005,0.000069
6020,0.000004,0.000068
6030,0.000007,0.000056
6040,0.000006,0.000072
6050,0.000005,0.000073
6060,0.000005,0.000062
6070,0.000005,0.000064
6080,0.000003,0.000068
6090,0.000003,0.000070
6100,0.000006,0.000072
6110,0.000004,0.000075
6120,0.000004,0.000072
6130,0.000007,0.000060
6140,0.000006,0.000060
6150,0.000004,0.000072
6160,0.000004,0.000069
6170,0.000006,0.000064
6180,0.000005,0.000071
6190,0.000003,0.000077
6200,0.000004,0.000068
6210,0.000003,0.000068
6220,0.000003,0.000068
6230,0.000010,0.000066
6240,0.000005,0.000071
6250,0.000007,0.000063
6260,0.000004,0.000062
6270,0.000003,0.000060
6280,0.000006,0.000050
6290,0.000006,0.000060
6300,0.000004,0.000079
6310,0.000003,0.000062
6320,0.000004,0.000064
6330,0.000004,0.000077
6340,0.000008,0.000072
6350,0.000009,0.000063
6360,0.000005,0.000078
6370,0.000005,0.000057
6380,0.000006,0.000059
6390,0.000003,0.000069
6400,0.000007,0.000072
6410,0.000008,0.000058
6420,0.000005,0.000065
6430,0.000008,0.000065
6440,0.000007,0.000072
6450,0.000004,0.000076
6460,0.000006,0.000055
6470,0.000007,0.000069
6480,0.000006,0.000063
6490,0.000005,0.000064
6500,0.000007,0.000070
6510,0.000009,0.000070
6520,0.000007,0.000075
6530,0.000005,0.000065
6540,0.000006,0.000063
6550,0.000004,0.000072
6560,0.000006,0.000074
6570,0.000009,0.000067
6580,0.000006,0.000078
6590,0.000007,0.000067
6600,0.000005,0.000069
6610,0.000007,0.000079
6620,0.000006,0.000068
6630,0.000008,0.000075
6640,0.000004,0.000074
6650,0.000004,0.000091
6660,0.000004,0.000068
6670,0.000005,0.000078
6680,0.000005,0.000052
6690,0.000008,0.000055
6700,0.000006,0.000090
6710,0.000006,0.000085
6720,0.000004,0.000044
6730,0.000005,0.000104
6740,0.000009,0.000054
6750,0.000008,0.000075
6760,0.000007,0.000044
6770,0.000009,0.000090
6780,0.000004,0.000088
6790,0.000007,0.000065
6800,0.000007,0.000072
6810,0.000006,0.000066
6820,0.000008,0.000063
6830,0.000006,0.000061
6840,0.000007,0.000076
6850,0.000005,0.000076
6860,0.000005,0.000079
6870,0.000004,0.000070
6880,0.000005,0.000062
6890,0.000007,0.000081
6900,0.000005,0.000074
6910,0.000005,0.000070
6920,0.000005,0.000082
6930,0.000005,0.000077
6940,0.000006,0.000072
6950,0.000004,0.000065
6960,0.000007,0.000076
6970,0.000009,0.000071
6980,0.000007,0.000066
6990,0.000006,0.000076
7000,0.000005,0.000084
7010,0.000005,0.000064
7020,0.000006,0.000073
7030,0.000006,0.000080
7040,0.000008,0.000086
7050,0.000005,0.000077
7060,0.000005,0.000069
7070,0.000006,0.000083
7080,0.000023,0.000068
7090,0.000005,0.000083
7100,0.000006,0.000080
7110,0.000007,0.000062
7120,0.000007,0.000072
7130,0.000008,0.000079
7140,0.000003,0.000071
7150,0.000005,0.000104
7160,0.000009,0.000075
7170,0.000006,0.000076
7180,0.000005,0.000072
7190,0.000005,0.000067
7200,0.000005,0.000087
7210,0.000006,0.000090
7220,0.000005,0.000078
7230,0.000007,0.000075
7240,0.000004,0.000067
7250,0.000006,0.000071
7260,0.000006,0.000073
7270,0.000007,0.000071
7280,0.000006,0.000079
7290,0.000006,0.000070
7300,0.000007,0.000071
7310,0.000007,0.000070
7320,0.000006,0.000079
7330,0.000007,0.000082
7340,0.000010,0.000090
7350,0.000006,0.000078
7360,0.000008,0.000085
7370,0.000007,0.000084
7380,0.000005,0.000078
7390,0.000006,0.000085
7400,0.000004,0.000072
7410,0.000004,0.000085
7420,0.000006,0.000075
7430,0.000005,0.000075
7440,0.000002,0.000072
7450,0.000007,0.000092
7460,0.000007,0.000062
7470,0.000006,0.000101
7480,0.000007,0.000074
7490,0.000003,0.000072
7500,0.000005,0.000063
7510,0.000007,0.000081
7520,0.000003,0.000090
7530,0.000004,0.000067
7540,0.000005,0.000080
7550,0.000007,0.000085
7560,0.000003,0.000101
7570,0.000006,0.000076
7580,0.000006,0.000078
7590,0.000005,0.000071
7600,0.000007,0.000073
7610,0.000006,0.000084
7620,0.000006,0.000086
7630,0.000006,0.000082
7640,0.000007,0.000072
7650,0.000007,0.000084
7660,0.000006,0.000087
7670,0.000003,0.000084
7680,0.000005,0.000071
7690,0.000004,0.000082
7700,0.000003,0.000086
7710,0.000004,0.000081
7720,0.000004,0.000095
7730,0.000004,0.000094
7740,0.000005,0.000066
7750,0.000005,0.000090
7760,0.000005,0.000073
7770,0.000004,0.000079
7780,0.000006,0.000076
7790,0.000004,0.000082
7800,0.000006,0.000078
7810,0.000004,0.000081
7820,0.000005,0.000074
7830,0.000006,0.000082
7840,0.000005,0.000071
7850,0.000006,0.000083
7860,0.000008,0.000086
7870,0.000007,0.000079
7880,0.000008,0.000079
7890,0.000006,0.000084
7900,0.000007,0.000079
7910,0.000003,0.000079
7920,0.000004,0.000089
7930,0.000005,0.000082
7940,0.000005,0.000085
7950,0.000003,0.000092
7960,0.000008,0.000091
7970,0.000004,0.000078
7980,0.000006,0.000087
7990,0.000006,0.000082
8000,0.000005,0.000086
8010,0.000005,0.000092
8020,0.000003,0.000090
8030,0.000006,0.000089
8040,0.000004,0.000079
8050,0.000005,0.000074
8060,0.000004,0.000072
8070,0.000004,0.000078
8080,0.000006,0.000102
8090,0.000006,0.000082
8100,0.000004,0.000100
8110,0.000004,0.000073
8120,0.000005,0.000081
8130,0.000004,0.000093
8140,0.000005,0.000096
8150,0.000008,0.000068
8160,0.000007,0.000063
8170,0.000007,0.000109
8180,0.000005,0.000045
8190,0.000004,0.000099
8200,0.000008,0.000110
8210,0.000005,0.000089
8220,0.000004,0.000097
8230,0.000006,0.000108
8240,0.000003,0.000115
8250,0.000006,0.000042
8260,0.000006,0.000129
8270,0.000006,0.000063
8280,0.000003,0.000050
8290,0.000004,0.000123
8300,0.000005,0.000154
8310,0.000008,0.000126
8320,0.000007,0.000026
8330,0.000004,0.000079
8340,0.000004,0.000151
8350,0.000007,0.000073
8360,0.000005,0.000015
8370,0.000007,0.000147
8380,0.000005,0.000131
8390,0.000008,0.000131
8400,0.000005,0.000150
8410,0.000011,0.000018
8420,0.000003,0.000078
8430,0.000003,0.000156
8440,0.000006,0.000081
8450,0.000008,0.000028
8460,0.000005,0.000147
8470,0.000004,0.000147
8480,0.000006,0.000150
8490,0.000005,0.000086
8500,0.000004,0.000041
8510,0.000003,0.000100
8520,0.000003,0.000076
8530,0.000005,0.000107
8540,0.000003,0.000048
8550,0.000005,0.000074
8560,0.000014,0.000125
8570,0.000007,0.000125
8580,0.000004,0.000092
8590,0.000007,0.000039
8600,0.000008,0.000095
8610,0.000005,0.000102
8620,0.000004,0.000086
8630,0.000004,0.000075
8640,0.000009,0.000118
8650,0.000004,0.000125
8660,0.000004,0.000119
8670,0.000007,0.000125
8680,0.000007,0.000099
8690,0.000006,0.000080
8700,0.000003,0.000073
8710,0.000007,0.000103
8720,0.000005,0.000078
8730,0.000006,0.000090
8740,0.000005,0.000101
8750,0.000006,0.000096
8760,0.000006,0.000110
8770,0.000003,0.000105
8780,0.000007,0.000099
8790,0.000004,0.000092
8800,0.000007,0.000106
8810,0.000006,0.000081
8820,0.000005,0.000093
8830,0.000003,0.000089
8840,0.000007,0.000098
8850,0.000006,0.000092
8860,0.000007,0.000084
8870,0.000006,0.000094
8880,0.000007,0.000084
8890,0.000006,0.000093
8900,0.000005,0.000083
8910,0.000014,0.000089
8920,0.000006,0.000096
8930,0.000006,0.000101
8940,0.000021,0.000087
8950,0.000004,0.000090
8960,0.000003,0.000075
8970,0.000004,0.000091
8980,0.000006,0.000071
8990,0.000006,0.000087
9000,0.000003,0.000102
9010,0.000006,0.000097
9020,0.000006,0.000093
9030,0.000007,0.000104
9040,0.000007,0.000095
9050,0.000007,0.000084
9060,0.000005,0.000074
9070,0.000003,0.000096
9080,0.000004,0.000100
9090,0.000007,0.000082
9100,0.000006,0.000082
9110,0.000008,0.000105
9120,0.000006,0.000102
9130,0.000004,0.000093
9140,0.000006,0.000086
9150,0.000005,0.000091
9160,0.000007,0.000079
9170,0.000006,0.000080
9180,0.000005,0.000105
9190,0.000007,0.000098
9200,0.000007,0.000094
9210,0.000006,0.000087
9220,0.000008,0.000097
9230,0.000004,0.000104
9240,0.000006,0.000092
9250,0.000008,0.000114
9260,0.000005,0.000092
9270,0.000005,0.000089
9280,0.000004,0.000100
9290,0.000005,0.000089
9300,0.000005,0.000096
9310,0.000007,0.000097
9320,0.000005,0.000098
9330,0.000007,0.000093
9340,0.000003,0.000105
9350,0.000006,0.000095
9360,0.000003,0.000100
9370,0.000006,0.000084
9380,0.000007,0.000082
9390,0.000004,0.000094
9400,0.000007,0.000086
9410,0.000005,0.000094
9420,0.000007,0.000096
9430,0.000007,0.000096
9440,0.000008,0.000093
9450,0.000004,0.000104
9460,0.000004,0.000111
9470,0.000005,0.000095
9480,0.000006,0.000097
9490,0.000007,0.000109
9500,0.000006,0.000105
9510,0.000006,0.000103
9520,0.000008,0.000106
9530,0.000005,0.000086
9540,0.000007,0.000097
9550,0.000006,0.000088
9560,0.000006,0.000091
9570,0.000005,0.000110
9580,0.000008,0.000106
9590,0.000006,0.000119
9600,0.000007,0.000123
9610,0.000007,0.000106
9620,0.000007,0.000102
9630,0.000008,0.000113
9640,0.000005,0.000090
9650,0.000008,0.000090
9660,0.000008,0.000089
9670,0.000006,0.000114
9680,0.000007,0.000087
9690,0.000008,0.000088
9700,0.000005,0.000105
9710,0.000009,0.000095
9720,0.000008,0.000101
9730,0.000004,0.000103
9740,0.000006,0.000098
9750,0.000006,0.000108
9760,0.000005,0.000092
9770,0.000004,0.000115
9780,0.000003,0.000088
9790,0.000004,0.000096
9800,0.000006,0.000098
9810,0.000006,0.000094
9820,0.000003,0.000106
9830,0.000006,0.000091
9840,0.000006,0.000110
9850,0.000006,0.000102
9860,0.000004,0.000111
9870,0.000004,0.000111
9880,0.000006,0.000107
9890,0.000004,0.000097
9900,0.000004,0.000100
9910,0.000007,0.000096
9920,0.000008,0.000108
9930,0.000005,0.000107
9940,0.000007,0.000111
9950,0.000006,0.000103
9960,0.000004,0.000110
9970,0.000004,0.000110
9980,0.000008,0.000103
9990,0.000008,0.000110
10000,0.000006,0.000091
